status,source_file,dn_no,mapped_stockist_no,detail
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72778_LC0070_09_NOV_2022.pdf,SS72778,LC0070,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72779_LC0071_09_NOV_2022.pdf,SS72779,LC0071,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72780_LC0072_09_NOV_2022.pdf,SS72780,LC0072,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72781_LC0038_09_NOV_2022.pdf,SS72781,LC0038,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72782_LC0039_09_NOV_2022.pdf,SS72782,LC0039,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72783_LC0040_09_NOV_2022.pdf,SS72783,LC0040,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72784_LC0041_09_NOV_2022.pdf,SS72784,LC0041,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72785_LC0042_09_NOV_2022.pdf,SS72785,LC0042,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72786_LC0043_09_NOV_2022.pdf,SS72786,LC0043,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72787_LC0044_09_NOV_2022.pdf,SS72787,LC0044,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72788_LC0045_09_NOV_2022.pdf,SS72788,LC0045,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72789_LC0046_09_NOV_2022.pdf,SS72789,LC0046,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72790_LC0047_09_NOV_2022.pdf,SS72790,LC0047,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72791_LC0048_09_NOV_2022.pdf,SS72791,LC0048,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72805_LC0077_09_NOV_2022.pdf,SS72805,LC0077,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72806_LC0078_09_NOV_2022.pdf,SS72806,LC0078,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72807_LC0079_09_NOV_2022.pdf,SS72807,LC0079,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72846_HL0172_22_NOV_2022.pdf,SS72846,HL0172,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72847_HL0173_22_NOV_2022.pdf,SS72847,HL0173,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72848_HL0174_22_NOV_2022.pdf,SS72848,HL0174,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72849_HL0175_22_NOV_2022.pdf,SS72849,HL0175,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72850_HL0176_22_NOV_2022.pdf,SS72850,HL0176,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72851_HL0177_22_NOV_2022.pdf,SS72851,HL0177,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72852_HL0178_22_NOV_2022.pdf,SS72852,HL0178,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72853_HL0179_22_NOV_2022.pdf,SS72853,HL0179,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72854_HL0180_22_NOV_2022.pdf,SS72854,HL0180,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72855_HL0181_22_NOV_2022.pdf,SS72855,HL0181,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72856_HL0182_22_MAR_2023.pdf,SS72856,HL0182,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72857_HL0183_22_NOV_2022.pdf,SS72857,HL0183,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72858_HL0184_22_NOV_2022.pdf,SS72858,HL0184,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72859_HL0185_22_NOV_2022.pdf,SS72859,HL0185,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72860_HL0186_22_NOV_2022.pdf,SS72860,HL0186,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72861_HL0187_22_NOV_2022.pdf,SS72861,HL0187,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72862_HL0188_22_NOV_2022.pdf,SS72862,HL0188,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72863_HL0189_22_NOV_2022.pdf,SS72863,HL0189,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72864_HL0190_22_NOV_2022.pdf,SS72864,HL0190,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72865_HL0191_22_NOV_2022.pdf,SS72865,HL0191,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72866_HL0192_22_NOV_2022.pdf,SS72866,HL0192,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72867_HL0193_22_NOV_2022.pdf,SS72867,HL0193,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72868_HL0194_22_NOV_2022.pdf,SS72868,HL0194,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72869_HL0195_22_NOV_2022.pdf,SS72869,HL0195,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72870_HL0196_22_NOV_2022.pdf,SS72870,HL0196,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72873_HL0199_22_NOV_2022.pdf,SS72873,HL0199,already correct
